locality,ward
Kendriya Vihar,Kempegowda
Manchenahalli,Kempegowda
Yelahanka (P),Kempegowda
Yelhanka Airport Area,Kempegowda
Maheshwari Nagar,Kempegowda
Sai spring field colony,Kempegowda
Gandhi Nagar,Kempegowda
Lake view residency,Kempegowda
Nehru Nagar,Kempegowda
Venkatala,Kempegowda
Surabhi Layout,Kempegowda
Venkatappa Layout,Kempegowda
Shobha Ultima villas,Kempegowda
Venkatala Layout,Kempegowda
Mantri township,Kempegowda
Vikas layout,Kempegowda
Yelahanka Kere,Kempegowda
Shankaranna Layout,Kempegowda
Sathyappa Anjanappa Kempamma Layout,Kempegowda
Shivanahalli (P),Kempegowda
Maruthi Nagar,Kempegowda
Sapthagiri Layout (P),Kempegowda
Jayanna Layout,Kempegowda
Basaveshwara Nagar (P),Kempegowda
Bhadranna Layout,Kempegowda
Harohalli,Chowdeshwari
Harohalli kere,Chowdeshwari
Kanchenahalli,Chowdeshwari
ISRO Layout,Chowdeshwari
Naganahalli,Chowdeshwari
Naganahalli new layout,Chowdeshwari
KEB Layout Phase I,Chowdeshwari
Balaji Layout,Chowdeshwari
Vinayaka Layout,Chowdeshwari
Ramanashree Califonia East Garden layout,Chowdeshwari
Deo Marvel Layout,Chowdeshwari
Mahalaxmi Layout,Chowdeshwari
Nisarga Layout,Chowdeshwari
CRPF Quarters,Chowdeshwari
Puttanahalli,Chowdeshwari
Puttanahalli kere,Chowdeshwari
Monte Carlo apartment,Chowdeshwari
DG staff quarters,Chowdeshwari
Central excise quarters,Chowdeshwari
Wheel and Axle plant,Chowdeshwari
FM Goetze plant,Chowdeshwari
Chowdeswari Layout,Chowdeshwari
Kamakshiamma Layout,Chowdeshwari
East Colony,Chowdeshwari
Yelahanka (P),Chowdeshwari
KHB Colony,Chowdeshwari
Ananthapura,Attur
Chikka Bettahalli,Attur
Dodda Bettahalli,Attur
Bharat Nagar (MS Palya),Attur
Chandrappa Layout,Attur
Hill side meadows layout,Attur
Sai Nagar Phase I and II,Attur
Basavalingappa Layout,Attur
Netravathi Layout (P),Attur
Sai orchards,Attur
Best country 3,Attur
G Ramaiah Layout,Attur
Jyothi Nagar,Attur
GPF Layout,Attur
Muneshwara Layout 1st and 2nd Phases,Attur
Hariraju Layout,Attur
Vaderahalli kere,Attur
AMS Layout,Attur
Veerasagara kere,Attur
Thirumala Nagar,Attur
Atturu Layout,Attur
Muneshwara Layout (Atturu),Attur
Ananda Nagar,Attur
Atturu,Attur
Atturu kere,Attur
KHB apartments,Attur
Yelahanka 4th and 5th Stages,Attur
208-SFS colony,Attur
Central excise and custom staff quarters,Attur
Air force quarters,Attur
Yelahanka new town,Attur
KSIDC industrial estate,Attur
WAP staff quarters,Attur
Udaya Layout,Yelahanka Satellite
Mother Dairy,Yelahanka Satellite
Soma Nagar,Yelahanka Satellite
Janata colony,Yelahanka Satellite
Chikka Bommasandra,Yelahanka Satellite
Yelahanka Salellite town,Yelahanka Satellite
ABC quarters,Yelahanka Satellite
Ambedkar colony,Yelahanka Satellite
Allalsandra,Yelahanka Satellite
Allalsandra kere,Yelahanka Satellite
Judicial Layout,Yelahanka Satellite
GKVK compus (P),Yelahanka Satellite
Judicial colony,Yelahanka Satellite
